TIME,SOURCE,DESTINATION,RATE_MBPS,RTT_MS,JITTER_MS,CWND,RTX_OUT,LOST_OUT,RTX_TOT
66.017628,10.0.0.1:56084,10.0.0.2:5000,6,134,0.393,78,0,0,252
66.018262,10.0.0.1:56084,10.0.0.2:5000,6,134,0.420,78,0,0,252
66.019002,10.0.0.1:56084,10.0.0.2:5000,6,134,0.326,78,0,0,252
66.019194,10.0.0.1:56084,10.0.0.2:5000,6,134,0.258,78,0,0,252
66.022801,10.0.0.1:56084,10.0.0.2:5000,6,133,0.286,78,0,0,252
66.026754,10.0.0.1:56084,10.0.0.2:5000,6,133,0.327,78,0,0,252
66.032548,10.0.0.1:56084,10.0.0.2:5000,6,133,0.369,78,0,0,252
66.034504,10.0.0.1:56084,10.0.0.2:5000,6,132,0.397,78,0,0,252
66.039544,10.0.0.1:56084,10.0.0.2:5000,6,132,0.345,78,0,0,252
66.042935,10.0.0.1:56084,10.0.0.2:5000,6,133,0.459,78,0,0,252
66.043146,10.0.0.1:56084,10.0.0.2:5000,6,133,0.412,78,0,0,252
66.043332,10.0.0.1:56084,10.0.0.2:5000,6,132,0.437,78,0,0,252
66.054381,10.0.0.1:56084,10.0.0.2:5000,6,132,0.527,78,0,0,252
66.059474,10.0.0.1:56084,10.0.0.2:5000,6,132,0.441,78,0,0,252
66.076554,10.0.0.1:56084,10.0.0.2:5000,6,132,0.460,78,0,0,252
66.077042,10.0.0.1:56084,10.0.0.2:5000,6,132,0.467,78,0,0,252
66.080618,10.0.0.1:56084,10.0.0.2:5000,6,132,0.475,78,0,0,252
66.084629,10.0.0.1:56084,10.0.0.2:5000,6,132,0.383,78,0,0,252
66.087512,10.0.0.1:56084,10.0.0.2:5000,6,132,0.329,78,0,0,252
66.089917,10.0.0.1:56084,10.0.0.2:5000,6,132,0.257,78,0,0,252
66.095919,10.0.0.1:56084,10.0.0.2:5000,6,132,0.425,78,0,0,252
66.106020,10.0.0.1:56084,10.0.0.2:5000,6,133,1.289,78,0,0,252
66.112354,10.0.0.1:56084,10.0.0.2:5000,6,133,1.213,78,0,0,252
66.112643,10.0.0.1:56084,10.0.0.2:5000,6,133,1.088,78,0,0,252
66.117988,10.0.0.1:56084,10.0.0.2:5000,6,132,1.091,78,0,0,252
66.119211,10.0.0.1:56084,10.0.0.2:5000,6,132,0.922,78,0,0,252
66.123251,10.0.0.1:56084,10.0.0.2:5000,6,132,0.800,78,0,0,252
66.127971,10.0.0.1:56084,10.0.0.2:5000,6,132,0.625,78,0,0,252
66.132791,10.0.0.1:56084,10.0.0.2:5000,6,133,0.799,78,0,0,252
66.134175,10.0.0.1:56084,10.0.0.2:5000,6,133,0.622,78,0,0,252
66.138556,10.0.0.1:56084,10.0.0.2:5000,6,133,0.604,78,0,0,252
66.138865,10.0.0.1:56084,10.0.0.2:5000,6,132,0.534,79,0,0,252
66.142237,10.0.0.1:56084,10.0.0.2:5000,6,132,0.535,79,0,0,252
66.147052,10.0.0.1:56084,10.0.0.2:5000,6,133,0.879,79,0,0,252
66.147376,10.0.0.1:56084,10.0.0.2:5000,6,133,0.709,79,0,0,252
66.151360,10.0.0.1:56084,10.0.0.2:5000,6,133,0.986,79,0,0,252
66.152404,10.0.0.1:56084,10.0.0.2:5000,6,133,0.875,79,0,0,252
66.155317,10.0.0.1:56084,10.0.0.2:5000,6,134,1.138,79,0,0,252
66.155969,10.0.0.1:56084,10.0.0.2:5000,6,134,0.963,79,0,0,252
66.158740,10.0.0.1:56084,10.0.0.2:5000,6,134,0.963,79,0,0,252
66.163550,10.0.0.1:56084,10.0.0.2:5000,6,134,1.018,79,0,0,252
66.163830,10.0.0.1:56084,10.0.0.2:5000,6,134,1.057,79,0,0,252
66.164605,10.0.0.1:56084,10.0.0.2:5000,6,134,1.083,79,0,0,252
66.171083,10.0.0.1:56084,10.0.0.2:5000,6,134,1.061,79,0,0,252
66.174613,10.0.0.1:56084,10.0.0.2:5000,6,134,0.828,79,0,0,252
66.174856,10.0.0.1:56084,10.0.0.2:5000,6,134,0.847,79,0,0,252
66.186157,10.0.0.1:56084,10.0.0.2:5000,6,134,0.863,79,0,0,252
66.188447,10.0.0.1:56084,10.0.0.2:5000,6,134,0.656,79,0,0,252
66.191128,10.0.0.1:56084,10.0.0.2:5000,6,133,0.674,79,0,0,252
66.209289,10.0.0.1:56084,10.0.0.2:5000,6,133,0.642,79,0,0,252
66.215228,10.0.0.1:56084,10.0.0.2:5000,6,133,0.597,79,0,0,252
66.220554,10.0.0.1:56084,10.0.0.2:5000,6,134,0.714,79,0,0,252
66.221267,10.0.0.1:56084,10.0.0.2:5000,6,133,0.669,79,0,0,252
